Year,Round,Pick,Name,Team,Position
2008,1,20,Aqib Talib,Buccaneers,DB
2008,1,21,Sam Baker,Falcons,T
2008,1,22,Felix Jones,Cowboys,RB
2008,1,23,Rashard Mendenhall,Steelers,RB
2008,1,24,Chris Johnson,Titans,RB
2008,1,25,Mike Jenkins,Cowboys,DB
2008,1,26,Duane Brown,Texans,T
2008,1,27,Antoine Cason,Chargers,DB
2008,1,28,Lawrence Jackson,Seahawks,DE
2008,1,29,Kentwan Ballmer,49ers,DT
2008,1,30,Dustin Keller,Jets,TE
2008,1,31,Kenny Phillips,Giants,DB
2007,1,1,JaMarcus Russell,Raiders,QB
2007,1,2,Calvin Johnson,Lions,WR
2007,1,3,Joe Thomas,Browns,T
2007,1,4,Gaines Adams,Buccaneers,DE
2007,1,5,Levi Brown,Cardinals,T
2007,1,6,LaRon Landry,Redskins,DB
2007,1,7,Adrian Peterson,Vikings,RB
2007,1,8,Jamaal Anderson,Falcons,DE
2007,1,9,Ted Ginn,Dolphins,WR
2007,1,10,Amobi Okoye,Texans,DT
2007,1,11,Patrick Willis,49ers,LB
2007,1,12,Marshawn Lynch,Bills,RB
2007,1,13,Adam Carriker,Rams,DE
2007,1,14,Darrelle Revis,Jets,DB
2007,1,15,Lawrence Timmons,Steelers,LB
2007,1,16,Justin Harrell,Packers,DT
2007,1,17,Jarvis Moss,Broncos,DE
2007,1,18,Leon Hall,Bengals,DB
2007,1,19,Michael Griffin,Titans,DB
2007,1,20,Aaron Ross,Giants,DB
2007,1,21,Reggie Nelson,Jaguars,DB
2007,1,22,Brady Quinn,Browns,QB
2007,1,23,Dwayne Bowe,Chiefs,WR
2007,1,24,Brandon Meriweather,Patriots,DB
2007,1,25,Jon Beason,Panthers,LB
2007,1,26,Anthony Spencer,Cowboys,DE
2007,1,27,Robert Meachem,Saints,WR
2007,1,28,Joe Staley,49ers,T
2007,1,29,Ben Grubbs,Ravens,G
2007,1,30,Craig Davis,Chargers,WR
2007,1,31,Greg Olsen,Bears,TE
2007,1,32,Anthony Gonzalez,Colts,WR
2006,1,1,Mario Williams,Texans,DE
