ID,Pick Number,Team PF,Team TO,Team Att,Team Yds.1,Team TD,Team Int,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Opp. PF,Opp. TO,Opp. Att,Opp. Yds.1,Opp. TD,Opp. Int,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Off. Rank PF,Off. Rank Yds.1,Off. Rank TO,Off. Rank Att,Def. Rank PF,Def. Rank Yds.1,Def. Rank TO,Def. Rank Att
98,3,298.0,24.0,510.0,3182.0,19.0,12.0,427.0,1702.0,13.0,4.0,77.0,382.0,20.0,558.0,3749.0,30.0,11.0,466.0,1887.0,13.0,4.0,88.0,24.0,24.0,22.0,25.0,22.0,21.0,20.0,21.0
99,4,234.0,41.0,574.0,3228.0,15.0,28.0,384.0,1714.0,11.0,4.5,97.0,410.0,13.0,525.0,3684.0,28.0,7.0,467.0,1566.0,14.0,3.4,95.0,32.0,22.0,32.0,9.0,31.0,19.0,32.0,8.0
100,5,289.0,34.0,566.0,3333.0,19.0,22.0,457.0,1852.0,8.0,4.1,92.0,382.0,17.0,491.0,3210.0,29.0,10.0,428.0,1430.0,9.0,3.3,68.0,27.0,20.0,31.0,12.0,22.0,4.0,26.0,1.0
101,6,263.0,15.0,487.0,2892.0,13.0,9.0,451.0,1661.0,11.0,3.7,94.0,404.0,20.0,513.0,3946.0,23.0,13.0,488.0,1927.0,15.0,3.9,99.0,30.0,30.0,4.0,30.0,30.0,28.0,20.0,5.0
102,7,302.0,16.0,476.0,2825.0,16.0,10.0,487.0,2017.0,12.0,4.1,105.0,359.0,25.0,573.0,3688.0,14.0,18.0,466.0,1994.0,22.0,4.3,121.0,22.0,31.0,6.0,31.0,18.0,20.0,9.0,29.0
103,8,264.0,22.0,473.0,2811.0,13.0,12.0,422.0,1788.0,13.0,4.2,92.0,320.0,22.0,529.0,3376.0,18.0,8.0,432.0,1730.0,10.0,4.0,85.0,29.0,32.0,14.0,32.0,9.0,7.0,13.0,10.0
104,9,331.0,23.0,607.0,3925.0,15.0,15.0,408.0,1662.0,15.0,4.1,88.0,383.0,20.0,544.0,3764.0,27.0,10.0,491.0,1861.0,13.0,3.8,108.0,20.0,9.0,19.0,2.0,25.0,22.0,20.0,13.0
105,10,295.0,25.0,598.0,3640.0,21.0,18.0,410.0,1386.0,6.0,3.4,66.0,361.0,21.0,564.0,3541.0,24.0,15.0,407.0,1432.0,12.0,3.5,68.0,25.0,15.0,23.0,5.0,19.0,14.0,16.0,25.0
106,11,281.0,29.0,602.0,3535.0,24.0,21.0,360.0,1388.0,4.0,3.9,66.0,393.0,15.0,528.0,3603.0,26.0,9.0,431.0,1768.0,14.0,4.1,88.0,28.0,18.0,30.0,4.0,29.0,16.0,29.0,9.0
107,12,335.0,27.0,605.0,4366.0,26.0,14.0,390.0,1448.0,8.0,3.7,76.0,382.0,26.0,549.0,4169.0,22.0,13.0,440.0,1880.0,17.0,4.3,102.0,18.0,4.0,26.0,3.0,22.0,32.0,7.0,14.0
108,13,342.0,27.0,540.0,3751.0,27.0,13.0,401.0,1448.0,10.0,3.6,66.0,388.0,23.0,531.0,3420.0,23.0,16.0,472.0,2146.0,13.0,4.5,105.0,16.0,12.0,26.0,18.0,27.0,9.0,12.0,12.0
109,14,448.0,18.0,536.0,4189.0,23.0,8.0,444.0,2070.0,23.0,4.7,111.0,326.0,25.0,554.0,3597.0,22.0,20.0,406.0,1787.0,11.0,4.4,92.0,4.0,5.0,9.0,19.0,10.0,15.0,9.0,17.0
